gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
001078,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ABBOTT LABORATORIES,ABT,002824100,0000001800,2834,325412
001300,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,9997,336413
001440,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,AMERICAN ELECTRIC POWER CO,AEP,025537101,0000004904,4911,2211
002285,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BOEING CO,BA,097023105,0000012927,3721,336411
002403,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,BRISTOL-MYERS SQUIBB CO,BMY,110122108,0000014272,2834,325412
002663,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CAMPBELL SOUP CO,CPB,134429109,0000016732,2030,311422
002817,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CATERPILLAR INC,CAT,149123101,0000018230,3531,333120
002991,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CHEVRON CORP,CVX,166764100,0000093410,2911,324110
003144,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COCA-COLA CO,KO,191216100,0000021344,2086,312111
003170,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,COLGATE-PALMOLIVE CO,CL,194162103,0000021665,2844,325611
003413,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONSOLIDATED EDISON INC,ED,209115104,0001047862,4931,22111
003532,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CORNING INC,GLW,219350105,0000024741,3679,334419
003835,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DEERE & CO,DE,244199105,0000315189,3523,333111
003897,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DTE ENERGY CO,DTE,233331107,0000936340,4931,2211
004029,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOMINION ENERGY INC,D,25746U109,0000715957,4911,22111
004060,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,DOWDUPONT INC,DWDP,26078J100,0001666700,2821,325211
004199,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EATON CORP PLC,ETN,G29183103,0001551182,3620,335314
004503,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EXXON MOBIL CORP,XOM,30231G102,0000034088,2911,324110
004839,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FORD MOTOR CO,F,345370860,0000037996,3711,33611
005046,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL DYNAMICS CORP,GD,369550108,0000040533,3721,336411
005047,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GENERAL ELECTRIC CO,GE,369604103,0000040545,9997,999977
005234,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,GOODYEAR TIRE & RUBBER CO,GT,382550101,0000042582,3011,326211
005439,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HALLIBURTON CO,HAL,406216101,0000045012,1389,213112
005597,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,HERSHEY CO,HSY,427866108,0000047111,2060,311351
006066,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL BUSINESS MACHINES CORP,IBM,459200101,0000051143,7370,519130
006104,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,INTL PAPER CO,IP,460146103,0000051434,2631,322130
006375,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KELLOGG CO,K,487836108,0000055067,2040,311230
006435,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KIMBERLY-CLARK CORP,KMB,494368103,0000055785,2621,322121
006502,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,KROGER CO,KR,501044101,0000056873,5411,445110
007163,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,S&P GLOBAL INC,SPGI,78409V104,0000064040,7323,561450
007241,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CVS HEALTH CORP,CVS,126650100,0000064803,5912,446110
007257,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MERCK & CO,MRK,58933Y105,0000310158,2834,325412
007366,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ENTERGY CORP,ETR,29364G103,0000065984,4911,22111
007435,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,3M CO,MMM,88579Y101,0000066740,2670,322220
007585,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,MOTOROLA SOLUTIONS INC,MSI,620076307,0000068505,3663,334220
007923,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,NORFOLK SOUTHERN CORP,NSC,655844108,0000702165,4011,482111
007977,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,XCEL ENERGY INC,XEL,98389B100,0000072903,4931,2211
008099,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,FIRSTENERGY CORP,FE,337932107,0001031296,4911,22111
008247,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PPG INDUSTRIES INC,PPG,693506107,0000079879,2851,325510
008272,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SEMPRA ENERGY,SRE,816851109,0001032208,4931,22111
008479,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PEPSICO INC,PEP,713448108,0000077476,2080,311919
008530,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PFIZER INC,PFE,717081103,0000078003,2834,325412
008539,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EXELON CORP,EXC,30161N101,0001109357,4911,22111
008543,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ALTRIA GROUP INC,MO,02209S103,0000764180,2111,312230
008549,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,CONOCOPHILLIPS,COP,20825C104,0001163165,1311,211111
008762,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PROCTER & GAMBLE CO,PG,742718109,0000080424,2840,325611
008810,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106,0000788784,4931,22111
008972,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,RAYTHEON CO,RTN,755111507,0001047122,3812,334511
009203,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,ROCKWELL AUTOMATION,ROK,773903109,0001024478,3620,335314
009846,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,EDISON INTERNATIONAL,EIX,281020107,0000827052,4911,22111
009850,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,SOUTHERN CO,SO,842587107,0000092122,4911,2211
010499,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TEXAS INSTRUMENTS INC,TXN,882508104,0000097476,3674,334413
010867,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNION PACIFIC CORP,UNP,907818108,0000100885,4011,482111
010983,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNITED TECHNOLOGIES CORP,UTX,913017109,0000101829,3724,336412
011456,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WEYERHAEUSER CO,WY,962166104,0000106535,2400,321
011465,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,WHIRLPOOL CORP,WHR,963320106,0000106640,3630,3352
011636,01,000003,1964/03/31,,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,XEROX CORP,XRX,984121608,0000108772,3577,333316
010857,01,000003,1964/03/31,2001/02/06,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,UNION CARBIDE CORP,DOW2,905581104,0000100790,2860,325199
008852,01,000003,1964/03/31,2001/08/02,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,QUAKER OATS CO,OAT.,747402105,0000081371,2040,3112
010581,01,000003,1964/03/31,2001/08/06,S&P 500 Comp-Ltd,LGCAP,I0003,,10,S&P,TIMKEN CO,TKR,887389104,0000098362,3562,332991
