tickers,Symbol,MarketCap,Sector,Industry
OMC,OMC,17161558022.56,Technology,Advertising
ORCL,ORCL,188454136690.0,Technology,Computer Software: Prepackaged Software
ORLY,ORLY,29332407901.71,Consumer Services,Other Specialty Stores
OXY,OXY,50631862224.65,Energy,Oil & Gas Production
PAYX,PAYX,27804429757.68,Consumer Services,Diversified Commercial Services
PBCT,PBCT,6757520182.6,Finance,Savings Institutions
PBI,PBI,1340293235.84,Miscellaneous,Office Equipment/Supplies/Services
PCAR,PCAR,23497098581.07,Capital Goods,Auto Manufacturing
PCG,PCG,9289456283.16,Public Utilities,Power Generation
PCH,PCH,2446151414.22,Consumer Services,Real Estate Investment Trusts
PDCO,PDCO,2198185100.0,Health Care,Medical Specialities
PEG,PEG,29947895317.5,Public Utilities,Power Generation
PEP,PEP,163196432027.44,Consumer Non-Durables,Beverages (Production/Distribution)
PFE,PFE,250641377702.08,Health Care,Major Pharmaceuticals
PFG,PFG,14305323460.4,Finance,Accident &Health Insurance
PG,PG,246255506553.96,Basic Industries,Package Goods/Cosmetics
PGR,PGR,42585264000.0,Finance,Property-Casualty Insurers
PH,PH,22774770747.75,Capital Goods,Metal Fabrications
PHM,PHM,7410777267.18,Capital Goods,Homebuilding
PKG,PKG,9088750121.64,Consumer Durables,Containers/Packaging
PKI,PKI,10730134582.44,Capital Goods,Biotechnology: Laboratory Analytical Instruments
PLD,PLD,44048858000.0,Consumer Services,Real Estate Investment Trusts
PM,PM,136041675943.44,Consumer Non-Durables,Farming/Seeds/Milling
PNC,PNC,57865340000.0,Finance,Major Banks
PNR,PNR,7313799088.2,Technology,Industrial Machinery/Components
PNW,PNW,10398758184.42,Public Utilities,Electric Utilities: Central
POM,,,,
PPG,PPG,26599966391.32,Basic Industries,Paints/Coatings
PPL,PPL,23257424297.22,Public Utilities,Electric Utilities: Central
PRGO,PRGO,6810488550.72,Health Care,Major Pharmaceuticals
PRSP,PRSP,3465166753.62,Technology,EDP Services
PRU,PRU,39509400000.0,Finance,Life Insurance
PSA,PSA,36965271880.0,Consumer Services,Real Estate Investment Trusts
PSX,PSX,44450880000.0,Energy,Integrated oil Companies
PTC,PTC,11105927146.4,Technology,Computer Software: Prepackaged Software
PVH,PVH,8718638756.64,Consumer Non-Durables,Apparel
PWR,PWR,5248344148.68,Capital Goods,Engineering & Construction
PXD,PXD,24624953376.94,Energy,Oil & Gas Production
PYPL,PYPL,115913085459.6,Miscellaneous,Business Services
QCOM,QCOM,65598568560.6,Technology,Radio And Television Broadcasting And Communications Equipment
QEP,QEP,1874386011.94,Energy,Oil & Gas Production
QRVO,QRVO,8656593832.5,Technology,Semiconductors
R,R,3310769333.71,Consumer Services,Rental/Leasing Companies
RCL,RCL,24879283749.54,Consumer Services,Marine Transportation
RDC,RDC,1472727438.36,Energy,Oil & Gas Production
RE,RE,9162328890.0,Finance,Property-Casualty Insurers
REG,REG,10750544578.64,Consumer Services,Real Estate Investment Trusts
REGN,REGN,48034973968.73,Health Care,Major Pharmaceuticals
RF,RF,16717750000.0,Finance,Major Banks
RHI,RHI,8121153018.0,Technology,Professional Services
RHT,RHT,32274693852.12,Technology,"Computer Software: Programming, Data Processing"
RIG,RIG,5100114165.08,Energy,Oil & Gas Production
RJF,RJF,11912068213.1,Finance,Investment Bankers/Brokers/Service
RL,RL,9982629245.44,Consumer Non-Durables,Apparel
RLGY,RLGY,1580916014.04,Finance,Real Estate
RMD,RMD,14775663927.99,Health Care,Medical/Dental Instruments
ROK,ROK,21339793370.66,Capital Goods,Industrial Machinery/Components
ROL,ROL,13020719109.84,Finance,Diversified Commercial Services
ROP,ROP,33473327280.02,Capital Goods,Industrial Machinery/Components
ROST,ROST,35154055465.2,Consumer Services,Clothing/Shoe/Accessory Stores
RRC,RRC,2729586286.3,Energy,Oil & Gas Production
RRD,RRD,377344000.0,Miscellaneous,Publishing
RSG,RSG,25253250787.44,Public Utilities,Environmental Services
RTN,RTN,52550079410.0,Capital Goods,Industrial Machinery/Components
S,S,26101227289.6,Public Utilities,Telecommunications Equipment
SAF,SAF,0.0,,
SANM,SANM,2180167151.58,Technology,Electrical Products
SBAC,SBAC,20475173630.0,Consumer Services,Real Estate Investment Trusts
SBUX,SBUX,88109060000.0,Consumer Services,Restaurants
SCG,,,,
SCHW,SCHW,63214695614.81,Finance,Investment Bankers/Brokers/Service
SEE,SEE,6850948812.8,Basic Industries,Major Chemicals
SHLDQ,,,,
SHW,SHW,40879122528.54,Consumer Services,RETAIL: Building Materials
SIG,SIG,1495073059.2,Consumer Services,Consumer Specialties
SITC,SITC,2366990710.0,Consumer Services,Real Estate Investment Trusts
SIVB,SIVB,13129270955.66,Finance,Major Banks
SJM,SJM,11992382380.86,Consumer Non-Durables,Packaged Foods
SLB,SLB,62632102471.85,Energy,Oilfield Services/Equipment
SLG,SLG,7542438920.0,Consumer Services,Real Estate Investment Trusts
SNA,SNA,8837960330.67,Capital Goods,Industrial Machinery/Components
SNPS,SNPS,15405824418.09,Technology,Computer Software: Prepackaged Software
SNV,SNV,6584281701.6,Finance,Major Banks
SO,SO,51707522664.42,Public Utilities,Electric Utilities: Central
SPG,SPG,54254196856.76,Consumer Services,Real Estate Investment Trusts
SPGI,SPGI,50177424000.0,Finance,Finance: Consumer Services
SRCL,SRCL,4677412363.65,Basic Industries,Environmental Services
SRE,SRE,33184038519.72,Public Utilities,Natural Gas Distribution
SSP,SSP,1806257386.95,Consumer Services,Broadcasting
STI,STI,29318395813.04,Finance,Major Banks
STT,STT,27566430746.4,Finance,Major Banks
STX,STX,13058652568.95,Technology,Electronic Components
STZ,STZ,32647399969.94,Consumer Non-Durables,Beverages (Production/Distribution)
SWK,SWK,20035100267.22,Capital Goods,Industrial Machinery/Components
SWKS,SWKS,14269821810.56,Technology,Semiconductors
SWN,SWN,2644813908.1,Energy,Oil & Gas Production
SYF,SYF,23042131231.8,Finance,Finance: Consumer Services
SYK,SYK,71395090964.88,Health Care,Medical/Dental Instruments
SYMC,SYMC,14401561781.19,Technology,Computer Software: Prepackaged Software
SYY,SYY,34699806630.38,Consumer Non-Durables,Food Distributors
T,T,224511060194.06,Public Utilities,Telecommunications Equipment
TAP,TAP,9995946734.25,Consumer Non-Durables,Beverages (Production/Distribution)
TDC,TDC,5824896000.0,Technology,Computer Software: Prepackaged Software
TDG,TDG,23132454853.05,Capital Goods,Military/Government/Technical
TEL,TEL,28179134731.44,Consumer Non-Durables,Electronic Components
TER,TER,7349246310.0,Capital Goods,Electrical Products
TEX,TEX,2519803000.0,Capital Goods,Construction/Ag Equipment/Trucks
TFX,TFX,13553478311.85,Health Care,Medical/Dental Instruments
TGNA,TGNA,3218765049.5,Consumer Services,Broadcasting
TGT,TGT,38062543002.82,Consumer Services,Department/Specialty Retail Stores
THC,THC,3012425037.0,Health Care,Hospital/Nursing Management
TIF,TIF,11693594558.8,Consumer Services,Consumer Specialties
TJX,TJX,128752497808.56,Consumer Services,Clothing/Shoe/Accessory Stores
TKR,TKR,3298925440.3,Capital Goods,Metal Fabrications
TMK,TMK,9243353196.61,Finance,Life Insurance
TMO,TMO,106304319430.92,Capital Goods,Industrial Machinery/Components
TPR,TPR,10253622468.96,Consumer Non-Durables,Apparel
TRCO,TRCO,4072975795.02,Consumer Services,Broadcasting
TRIP,TRIP,7245335405.34,Technology,"Computer Software: Programming, Data Processing"
TROW,TROW,23784658726.07,Finance,Investment Bankers/Brokers/Service
TRV,TRV,35038909253.02,Finance,Property-Casualty Insurers
TSCO,TSCO,11516729048.32,Consumer Services,RETAIL: Building Materials
TSN,TSN,22715979232.86,Consumer Non-Durables,Meat/Poultry/Fish
TSS,TSS,16849435077.2,Miscellaneous,Business Services
TTWO,TTWO,9994462364.16,Technology,Computer Software: Prepackaged Software
TUP,TUP,1426335077.2,Consumer Non-Durables,Plastic Products
TWTR,TWTR,23480167721.0,Technology,"Computer Software: Programming, Data Processing"
TXN,TXN,100904245280.68,Technology,Semiconductors
TXT,TXT,12773580745.93,Capital Goods,Aerospace
UAA,UAA,10249655835.42,Consumer Non-Durables,Apparel
UAL,UAL,23682606691.04,Transportation,Air Freight/Delivery Services
UDR,UDR,12212325448.26,Consumer Services,Real Estate Investment Trusts
UHS,UHS,13025741836.8,Health Care,Hospital/Nursing Management
UIS,UIS,696996063.32,Technology,EDP Services
ULTA,ULTA,18701119318.5,Consumer Services,Other Specialty Stores
UN,UN,139572138000.0,Basic Industries,Package Goods/Cosmetics
UNH,UNH,236190405467.25,Health Care,Medical Specialities
UNM,UNM,8084950495.7,Finance,Accident &Health Insurance
UNP,UNP,121038661678.48,Transportation,Railroads
UPS,UPS,96457475078.88,Transportation,Trucking Freight/Courier Services
URBN,URBN,3350904269.79,Consumer Services,Clothing/Shoe/Accessory Stores
URI,URI,10799713916.58,Technology,Diversified Commercial Services
USB,USB,83584325305.2,Finance,Major Banks
UTX,UTX,108382146198.69,Capital Goods,Aerospace
V,V,338495077153.2,Miscellaneous,Business Services
VAR,VAR,12411100757.04,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
VC,VC,2415999116.44,Capital Goods,Auto Parts:O.E.M.
VFC,VFC,34528443152.32,Consumer Non-Durables,Apparel
VIAB,VIAB,10232700298.4,Consumer Services,Television Services
VIAV,VIAV,3009552717.6,Technology,Semiconductors
VLO,VLO,35170910179.38,Energy,Integrated oil Companies
VMC,VMC,14925364642.48,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VNO,VNO,12733487398.17,Consumer Services,Real Estate Investment Trusts
VREX,VREX,1259463125.76,Capital Goods,Industrial Machinery/Components
VRSK,VRSK,20718292546.3,Technology,EDP Services
VRSN,VRSN,21608548294.5,Technology,EDP Services
VRTX,VRTX,49127027790.24,Health Care,Major Pharmaceuticals
VSM,VSM,5261339508.34,Basic Industries,Major Chemicals
VTR,VTR,22215555582.96,Consumer Services,Real Estate Investment Trusts
VZ,VZ,235361333495.68,Public Utilities,Telecommunications Equipment
WAT,WAT,18542552256.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
WBA,WBA,62842853864.96,Health Care,Medical/Nursing Services
WCG,WCG,13001126415.9,Health Care,Medical Specialities
WDC,WDC,15025359457.08,Technology,Electronic Components
WEC,WEC,23989228287.76,Public Utilities,Power Generation
WELL,WELL,28395757368.03,Consumer Services,Real Estate Investment Trusts
WFC,WFC,229202439000.0,Finance,Major Banks
WFT,WFT,780022790.8704,Energy,Metal Fabrications
WHR,WHR,8983032611.28,Consumer Durables,Consumer Electronics/Appliances
WIN,WIN,15980757.6124,Public Utilities,Telecommunications Equipment
WLTW,WLTW,22246699216.8,Finance,Specialty Insurers
WM,WM,42801733540.0,Public Utilities,Environmental Services
WMB,WMB,33217216044.09,Public Utilities,Natural Gas Distribution
WMT,WMT,284512117577.87,Consumer Services,Department/Specialty Retail Stores
WOR,WOR,2263867573.95,Capital Goods,Steel/Iron Ore
WPX,WPX,5272633833.72,Energy,Oil & Gas Production
WRK,WRK,9589247100.45,Consumer Durables,Containers/Packaging
WU,WU,7937571813.99,Miscellaneous,Business Services
WY,WY,18670565240.0,Consumer Services,Real Estate Investment Trusts
WYND,WYND,4354188557.24,Consumer Services,Hotels/Resorts
WYNN,WYNN,13605363372.16,Consumer Services,Hotels/Resorts
X,X,3862865719.4,Basic Industries,Steel/Iron Ore
XEC,XEC,6997797177.84,Energy,Oil & Gas Production
XEL,XEL,28230163150.88,Public Utilities,Power Generation
XLNX,XLNX,32060675662.8,Technology,Semiconductors
XOM,XOM,338960000000.0,Energy,Integrated oil Companies
XRAY,XRAY,10933764816.25,Health Care,Medical/Dental Instruments
XRX,XRX,7184903670.0,Technology,Computer peripheral equipment
XYL,XYL,13723689000.0,Capital Goods,Fluid Controls
YUM,YUM,29222719869.75,Consumer Services,Restaurants
YUMC,YUMC,15693700528.8,Consumer Services,Restaurants
ZBH,ZBH,25637985420.22,Health Care,Industrial Specialties
ZION,ZION,9597138180.0,Finance,Major Banks
ZTS,ZTS,45842410861.25,Health Care,Major Pharmaceuticals
