date,ticker,gicsIndustry
20040224,ADCT,4520
20040224,AAMRQ,2030
20040224,AAR,2030
20040224,PNW,5510
20040224,ABT,3510
20040224,AMD,4530
20040224,WCOEQ,5010
20040224,MCIP,5010
20040224,AET,3510
20040224,AEF.3,3510
20040224,APD,1510
20040224,ALK,2030
20040224,ACV.1,3030
20040224,ABS.1,3010
20040224,AL.1,1510
20040224,AL.Z,1510
20040224,AYE,5510
20040224,HON,2010
20040224,AT.2,5010
20040224,AT.P,5010
20040224,SWKS,4530
20040224,AA.3,1510
20040224,AA.P,1510
20040224,HES,1010
20040224,BEAM,3020
20040224,BEAM.PA,3020
20040224,AEP,5510
20040224,AEP.Z,5510
20040224,AXP,4020
20040224,AFL,4030
20040224,AM.1,2520
20040224,WYE,3520
20040224,WYE.P,3520
20040224,AIG,4030
20040224,TT.2,2010
20040224,T.2,5010
20040224,AME,2010
20040224,AMGN,3520
20040224,ASO.1,4010
20040224,ADI,4530
20040224,ANDW,4520
20040224,NBR,1010
20040224,BUD.2,3020
20040224,APA,1010
20040224,AAPL,4520
20040224,AMAT,4530
20040224,ADM,3020
20040224,ASH,1510
20040224,GAS,5510
20040224,ADSK,4510
20040224,ADP,4510
20040224,AVY,1510
20040224,AVP,3030
20040224,BHI,1010
20040224,BLL,1510
20040224,CEG,5510
20040224,ONE.1,4010
20040224,BK,4020
20040224,BCR,3510
20040224,GOLD,1510
20040224,ABX.,1510
20040224,BOL,3510
20040224,BAX,3510
20040224,BDX,3510
20040224,VZ,5010
20040224,BLS,5010
20040224,BMS,1510
20040224,BRK.A,4020
20040224,BRK.B,4020
20040224,BBY,2550
20040224,BMET,3510
20040224,BDK,2520
20040224,HRB,2530
20040224,ESV,1010
20040224,BA,2010
20040224,OMX,2550
20040224,BEP.1,2550
20040224,RHI,2020
20040224,BGG,2010
20040224,BMY,3520
20040224,BMYMP,3520
20040224,BF.B,3020
20040224,BF.A,3020
20040224,BC,2520
20040224,BNI,2030
20040224,UIS,4510
20040224,CI,3510
20040224,CSX,2030
20040224,CPB,3020
20040224,STZ.B,3020
20040224,STZ,3020
20040224,PVN,4020
20040224,CAH,3510
20040224,PGN.1,5510
20040224,CAT,2010
20040224,CTX.2,2520
20040224,CBSS,4010
20040224,CTL,5010
20040224,JPM,4010
20040224,JPM.PH.,4010
20040224,JPM.PF.,4010
20040224,CVX,1010
20040224,CHIR.1,3520
20040224,CB.1,4030
20040224,CB.PB,4030
20040224,CHD,3030
20040224,CCTYQ,2550
20040224,CTAS,2020
20040224,CCU.1,5020
20040224,CLF,1510
20040224,CLX,3030
20040224,KO,3020
20040224,CL,3030
20040224,AON,4030
20040224,CMCSA,5020
20040224,CMCSK,5020
20040224,CCZ,5020
20040224,CMA,4010
20040224,C,4010
20040224,C.PF.,4010
20040224,CPM.1,4010
20040224,C.PH.1,4010
20040224,C.PG.,4010
20040224,CAR,2030
20040224,CA,4510
20040224,DXC,4510
20040224,CAG,3020
20040224,CE.2,4510
20040224,ED,5510
20040224,EPB.2,5510
